title,location,price,size,listing_type,link,source,rooms
Residential Land for Sale in Muscat Amerat,", Amerat, 948889XX","8,200 OMR",,For Sale,https://om.opensooq.com/en/search/266932847,opensooq,
272 m2 4 Bedrooms Villa for Sale in Dhofar Salala,", Salala, 717099XX","72,000 OMR",272.0,For Sale,https://om.opensooq.com/en/search/263943399,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 944423XX","98,000 OMR",,For Sale,https://om.opensooq.com/en/search/267038499,opensooq,
Building for Sale in Muscat Ghala,", Ghala, 924618XX","950,000 OMR",2200.0,For Sale,https://om.opensooq.com/en/search/253985415,opensooq,
عرض مميز للبيع مكتب طابق ارضي نظام بزنس سنتر مؤجر ومقسم ل تسعة مكاتب في غلا,", Ghala, 924618XX","140,000 OMR",190.0,For Sale,https://om.opensooq.com/en/search/261517041,opensooq,
67 m2 2 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 955952XX","33,000 OMR",67.0,For Sale,https://om.opensooq.com/en/search/263863199,opensooq,
65 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 955952XX","25,500 OMR",65.0,For Sale,https://om.opensooq.com/en/search/262233525,opensooq,
67 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 955952XX","26,500 OMR",67.0,For Sale,https://om.opensooq.com/en/search/262233937,opensooq,
Residential Land for Sale in Al Batinah Barka,", Barka, 964041XX","17,800 OMR",,For Sale,https://om.opensooq.com/en/search/265702163,opensooq,
Luxury 2bedroom apartment for sale in Muscat hills,", Muscat Hills, 786427XX","85,000 OMR",130.0,For Sale,https://om.opensooq.com/en/search/266766591,opensooq,
65 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 955952XX","25,500 OMR",65.0,For Sale,https://om.opensooq.com/en/search/262235049,opensooq,
60 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 933322XX","17,500 OMR",60.0,For Sale,https://om.opensooq.com/en/search/266124101,opensooq,
192 m2 5 Bedrooms Villa for Sale in Al Batinah Barka,", Barka, 961213XX","44,000 OMR",192.0,For Sale,https://om.opensooq.com/en/search/265643741,opensooq,
واجهة عملك تبدأ بمكتب فاخر في مشروع العُلا الواقع في غلا - مرتفعات المطار,", Ghala, 955952XX","31,000 OMR",63.0,For Sale,https://om.opensooq.com/en/search/265048181,opensooq,
660 m2 1 Bedroom Apartments for Sale in Muscat Bosher,", Bosher, 727272XX","25,000 OMR",660.0,For Sale,https://om.opensooq.com/en/search/266143479,opensooq,
114 m2 3 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 955952XX","51,000 OMR",114.0,For Sale,https://om.opensooq.com/en/search/265078135,opensooq,
300 m2 4 Bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 919111XX","65,000 OMR",300.0,For Sale,https://om.opensooq.com/en/search/266869471,opensooq,
مکاتب تجاریة ا استثمار ذهبي ا تقسیط ا موج مسقط,", Al Mouj, 939918XX","2,100,000 OMR",1128.0,For Sale,https://om.opensooq.com/en/search/266229677,opensooq,
محل للتاجير في موقع الذهبي في بوشر على الشارع دوحة الادب جاهز بمساحة كبيره جاهز للشغل فيه,", Bosher, 722298XX","1,300 OMR",150.0,For Sale,https://om.opensooq.com/en/search/265371003,opensooq,
محل مميز للبيع في بوشر مقابل عمان مول - على بعد خطوات من جامع محمد الأمين و مجمع بوشر الرياضي,", Bosher, 955952XX","49,000 OMR",49.0,For Sale,https://om.opensooq.com/en/search/265078507,opensooq,
Residential Land for Sale in Al Batinah Barka,", Barka, 964041XX","23,800 OMR",,For Sale,https://om.opensooq.com/en/search/265010097,opensooq,
58 m2 1 Bedroom Apartments for Sale in Muscat Bosher,", Bosher, 955952XX","29,000 OMR",58.0,For Sale,https://om.opensooq.com/en/search/265078965,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 995505XX","35,000 OMR",,For Sale,https://om.opensooq.com/en/search/266930935,opensooq,
Residential Land for Sale in Al Batinah Barka,", Barka, 926866XX","5,900 OMR",,For Sale,https://om.opensooq.com/en/search/265815895,opensooq,
113 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud,", Al Khoud, 991119XX","41,000 OMR",113.0,For Sale,https://om.opensooq.com/en/search/266834391,opensooq,
250 m2 5 Bedrooms Townhouse for Sale in Muscat Al Maabilah,", Al Maabilah, 949990XX","87,000 OMR",250.0,For Sale,https://om.opensooq.com/en/search/262240603,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","7,400 OMR",,For Sale,https://om.opensooq.com/en/search/264202843,opensooq,
122 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 969317XX","39,500 OMR",122.0,For Sale,https://om.opensooq.com/en/search/265545053,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 988969XX","25,000 OMR",,For Sale,https://om.opensooq.com/en/search/266439429,opensooq,
